"Index" "DOV.Open" "DOV.High" "DOV.Low" "DOV.Close" "DOV.Volume" "DOV.Adjusted"
"2010-12-15" 38.658257 39.053753 38.530891 38.564407 2132365 30.190815
"2010-12-16" 38.564407 38.765511 38.242649 38.664959 1673788 30.269524
"2010-12-17" 38.658257 38.845951 38.262756 38.450451 1983186 30.101601
"2010-12-20" 38.60463 38.832542 37.619236 38.256054 2634352 29.949411
"2010-12-21" 38.390121 38.597927 38.262756 38.504078 1575629 30.143576
"2010-12-22" 38.5443 39.683868 38.142097 39.522987 5847817 30.941235
"2010-12-23" 39.489471 39.516285 39.201229 39.335297 1711829 30.794315
"2010-12-27" 39.087273 39.28167 38.879467 39.181118 726203 30.673613
"2010-12-28" 39.201229 39.435844 39.026939 39.295074 1310239 30.762829
"2010-12-29" 39.409031 39.536396 39.161007 39.221336 1488210 30.705103
"2010-12-30" 39.147602 39.402328 39.1409 39.274963 682643 30.747082
"2010-12-31" 39.221336 39.36211 39.060459 39.181118 786770 30.673613
"2011-01-03" 39.670464 40.09948 39.529694 39.630241 2147879 31.025217
"2011-01-04" 39.771011 39.884972 39.006832 39.409031 2013767 30.852036
"2011-01-05" 39.1409 39.435844 38.959908 39.020237 1916055 30.547668
"2011-01-06" 39.013535 39.241447 38.46386 38.584518 2078511 30.206547
"2011-01-07" 38.718586 39.181118 38.443748 38.470562 1791043 30.117348
"2011-01-10" 38.289574 38.624741 38.054955 38.504078 1738681 30.143576
"2011-01-11" 38.691772 39.006832 38.5443 38.765511 1550417 30.348242
"2011-01-12" 39.04705 39.630241 39.000126 39.46936 1283089 30.899267
"2011-01-13" 39.529694 39.663761 39.295074 39.590023 1664390 30.993742
"2011-01-14" 39.429142 39.945301 39.234745 39.945301 1669313 31.271862
"2011-01-18" 39.851456 40.159809 39.851456 40.052555 1414068 31.355831
"2011-01-19" 39.998928 39.998928 38.859356 39.013535 2625998 30.542419
"2011-01-20" 38.845951 38.946503 37.880669 38.021439 2826942 29.765738
"2011-01-21" 38.396824 38.772213 37.887371 37.981216 3029378 29.734257
"2011-01-24" 38.054955 38.772213 38.054955 38.18232 2252305 29.891685
"2011-01-25" 38.115284 38.591225 37.934296 38.530891 1757030 30.164566
"2011-01-26" 38.725288 39.952003 38.698475 39.811234 3726342 31.166918
"2011-01-27" 39.087273 40.220139 39.087273 39.871563 4074974 31.214136
"2011-01-28" 41.031242 43.571815 40.856956 41.661362 6890429 32.615314
"2011-01-31" 41.989822 43.270164 41.989822 42.968513 5321961 33.638645
"2011-02-01" 43.229946 44.26226 42.821041 44.061161 3498397 34.494041
"2011-02-02" 43.793026 43.974018 43.317089 43.685772 2436839 34.200169
"2011-02-03" 43.61874 43.819839 43.30368 43.377419 3010283 33.958763
"2011-02-04" 43.464561 43.880173 43.357307 43.766212 1694375 34.263111
"2011-02-07" 43.947205 44.275669 43.860062 44.141602 3240168 34.55703
"2011-02-08" 44.195229 44.677872 43.860062 44.29578 1925453 34.677723
"2011-02-09" 44.054459 44.376221 43.819839 44.302483 2345691 34.682961
"2011-02-10" 44.141602 44.89238 44.04105 44.63765 2178461 34.945347
"2011-02-11" 44.416439 44.919189 44.181824 44.671165 1996164 34.971596
"2011-02-14" 44.684574 45.45546 44.557209 45.388428 2119983 35.533127
"2011-02-15" 45.100182 45.354908 44.43655 44.557209 1829531 34.882366
"2011-02-16" 44.758308 45.140404 44.335999 44.664463 1703475 34.966343
"2011-02-17" 44.724792 45.31469 44.409737 45.140404 1701088 35.338947
"2011-02-18" 45.495682 45.629745 44.986225 45.415237 1779556 35.554115
"2011-02-22" 44.785126 44.805233 43.75951 43.90028 1209096 34.368099
"2011-02-23" 43.913689 44.007534 42.170815 42.566315 2396561 33.323776
"2011-02-24" 42.626644 43.323792 42.164112 42.566315 2026149 33.468719
"2011-02-25" 42.894775 43.048954 42.754005 42.9417 1655738 33.763874
"2011-02-28" 43.089176 43.504784 42.807632 43.069065 1556086 33.864014
"2011-03-01" 43.136097 43.524895 42.51939 42.66016 1857577 33.542511
"2011-03-02" 42.66016 43.927094 42.566315 43.330498 2107153 34.069572
"2011-03-03" 43.61874 44.751606 43.61874 44.664463 2811129 35.118443
"2011-03-04" 44.530396 44.664463 43.672367 43.994129 3812717 34.591362
"2011-03-07" 43.960609 44.342701 42.586422 42.780819 3534051 33.637383
"2011-03-08" 43.089176 43.893578 42.794228 43.518188 1399597 34.21714
"2011-03-09" 43.370716 43.464561 42.841152 43.370716 1329782 34.101189
"2011-03-10" 42.80093 42.834446 41.942902 42.331696 1394525 33.284241
"2011-03-11" 42.284771 42.921593 41.902679 42.700378 1521924 33.574127
"2011-03-14" 42.291473 42.794228 41.916088 42.311584 1718393 33.268425
"2011-03-15" 40.850254 42.117188 40.508385 41.895977 2138630 32.941666
"2011-03-16" 41.761909 42.324993 41.285973 41.674767 3445886 32.767715
"2011-03-17" 42.552906 42.9417 42.224442 42.465763 1785076 33.38966
"2011-03-18" 43.156208 43.236649 42.244553 42.459061 2413269 33.384388
"2011-03-21" 43.270164 43.860062 43.102581 43.732697 3845238 34.385803
"2011-03-22" 43.67907 43.719292 42.995327 43.129395 2359266 33.911453
"2011-03-23" 43.08247 43.343903 42.539501 43.122692 2084627 33.906197
"2011-03-24" 43.625443 43.960609 43.270164 43.732697 2623164 34.385803
"2011-03-25" 43.893578 44.12149 43.625443 43.913689 1271005 34.528107
"2011-03-28" 43.974018 44.054459 43.317089 43.330498 1451661 34.069572
"2011-03-29" 43.290276 43.524895 42.901482 43.524895 1522670 34.222408
"2011-03-30" 43.746105 43.793026 43.370716 43.598629 1544301 34.280384
"2011-03-31" 43.565113 44.161713 43.484673 44.067863 1355739 34.649338
"2011-04-01" 44.610836 45.187325 44.275669 45.073368 2234254 35.439938
"2011-04-04" 44.919189 44.939301 43.994129 44.644352 1777020 35.102615
"2011-04-05" 44.671165 44.744904 44.389626 44.630947 2309142 35.092075
"2011-04-06" 44.811935 44.878971 44.329296 44.510284 1487464 34.9972
"2011-04-07" 44.342701 44.490177 43.846653 44.208633 1329931 34.760025
"2011-04-08" 44.188526 44.403034 43.343903 43.632149 1279508 34.306747
"2011-04-11" 43.672367 43.853355 43.317089 43.571815 1438682 34.259323
