"Index" "GWW.Open" "GWW.High" "GWW.Low" "GWW.Close" "GWW.Volume" "GWW.Adjusted"
"2021-04-12" 401.619995 406.980011 401.619995 405.970001 165100 394.331848
"2021-04-13" 403.470001 404.410004 397.309998 400.149994 259000 388.678619
"2021-04-14" 399.070007 406.149994 398.869995 400.459991 161400 388.979736
"2021-04-15" 401.049988 404.559998 399.440002 404.450012 158100 392.855408
"2021-04-16" 406.950012 408.26001 401.51001 406.880005 227000 395.215759
"2021-04-19" 406 409.049988 404.559998 408.980011 187300 397.255554
"2021-04-20" 410.820007 414.059998 409.269989 413.700012 308200 401.84021
"2021-04-21" 415 427.769989 414.959991 424.040009 388700 411.88385
"2021-04-22" 425.980011 426.48999 418.660004 419.119995 332300 407.104858
"2021-04-23" 420 425.51001 418.51001 423.559998 169400 411.417572
